series_type,method,temperature,relation_discrepancy,accuracy,nll,ece,lorentz_top1_agreement,lorentz_1_minus_jsd,teacher_top1_agreement,teacher_1_minus_jsd
temperature_curve,hint,1,,,0.7041612903225807,0.8204445522369876,0.013163643733988829,0.8826421370967743,0.9701291980548732,0.7869838709677419,0.8938216236252938
temperature_curve,hint,2,,,0.7040080645161291,0.8554022835146996,0.07201610703201541,0.88453125,0.9614720279266757,0.7862016129032258,0.8968184799994192
temperature_curve,hint,4,,,0.700733870967742,0.897644716693509,0.09218520832542454,0.8819254032258064,0.9560915309129463,0.7820806451612903,0.8928013834568762
temperature_curve,hint,8,,,0.6995241935483871,0.9126632038854784,0.09497201479154248,0.880257056451613,0.9544774198976135,0.7805,0.8911627148197543
temperature_curve,hint,16,,,0.6985,0.9169630056196644,0.09430022497463131,0.878843245967742,0.9539502193192921,0.7794112903225806,0.890440024714316
temperature_curve,hint_beta,1,,,0.7023629032258064,0.8251894634000717,0.014505320208687934,0.8807207661290323,0.9703819807299804,0.7840403225806452,0.8923202541105208
temperature_curve,hint_beta,2,,,0.7032338709677419,0.8581947668444726,0.07252964583159455,0.8850488911290323,0.9611905260436958,0.7850241935483872,0.8960944488048553
temperature_curve,hint_beta,4,,,0.7015887096774194,0.8918334484715615,0.0913111966169409,0.8837746975806452,0.956937805058014,0.78375,0.893588906180474
temperature_curve,hint_beta,8,,,0.7010241935483871,0.910060766097038,0.09494646985552485,0.8819642137096775,0.9551020152613882,0.7821693548387096,0.8919220398472202
temperature_curve,hint_beta,16,,,0.7002983870967742,0.91496521799026,0.09475763337290097,0.8811350806451612,0.9542101947337749,0.7813790322580645,0.8915049956921608
temperature_curve,kd,1,,,0.6858709677419355,0.8643532439508745,0.011977253325163362,0.8617409274193548,0.9668023543904025,0.7649112903225807,0.8759958301590335
temperature_curve,kd,2,,,0.6828306451612903,0.9055746584861509,0.07851792041981412,0.8599722782258065,0.952467865697679,0.760766129032258,0.8791362817518172
temperature_curve,kd,4,,,0.6807580645161291,0.9584165131968837,0.10274919410734887,0.8598245967741935,0.946351207217502,0.7565403225806452,0.874569685543737
temperature_curve,kd,8,,,0.6807741935483871,0.9696143641625681,0.10339721774538195,0.8581300403225807,0.9446835075243105,0.7574758064516129,0.8737694568172578
temperature_curve,kd,16,,,0.6775322580645161,0.9909479198455811,0.10373615109776299,0.8567651209677419,0.9438955149189119,0.753233870967742,0.8709003014564514
reference,teacher,,,0.8136290322580645,0.5358046291412846,0.007028224203735589,0.9948830645161291,0.9997656897796788,,
reference,baseline,,,0.6881612903225807,0.8572277129696262,0.012532817345473062,0.8522938508064517,0.9607722425677724,0.7659193548387097,0.8777150462212101
reference,relational,,cosine,0.7044354838709678,18.245110180270288,0.29012053129004867,0.8824541330645161,0.8886452207163937,0.7858467741935484,0.7884869023446114
