T,method,accu_mean,accu_std,nlll_mean,nlll_std,ecel_mean,ecel_std,pi_jsd_mean,pi_jsd_std,pi_agree_mean,pi_agree_std,fid_top1_mean,fid_top1_std,fid_jsd_mean,fid_jsd_std
,Teacher,0.7739,0.0012,0.6501,0.0053,0.0315,0.0005,1.0,0.0,1.0,0.0,,,
,Baseline_MLP,0.6181,0.0045,0.9580,0.0102,0.0378,0.0008,0.9507,0.0013,0.7455,0.0036,0.7031,0.0073,0.8725,0.0028
,Relational_Distillation,0.6306,0.0021,0.9941,0.0353,0.0870,0.0417,0.9491,0.0174,0.7691,0.0038,0.7327,0.0066,0.8755,0.0191
1,KD,0.6365,0.0032,0.9252,0.0068,0.0369,0.0005,0.9582,0.0006,0.7683,0.0032,0.7405,0.0066,0.8911,0.0031
1,Hint,0.6322,0.0043,0.9293,0.0095,0.0373,0.0009,0.9597,0.0019,0.7601,0.0058,0.7359,0.0076,0.8887,0.0037
1,Hint_beta025,0.6287,0.0047,0.9384,0.0086,0.0370,0.0007,0.9583,0.0010,0.7555,0.0039,0.7310,0.0088,0.8860,0.0036
2,KD,0.6322,0.0011,0.9443,0.0048,0.0535,0.0039,0.9458,0.0024,0.7639,0.0034,0.7328,0.0013,0.8902,0.0007
2,Hint,0.6298,0.0019,0.9477,0.0042,0.0546,0.0057,0.9449,0.0019,0.7581,0.0039,0.7316,0.0037,0.8889,0.0019
2,Hint_beta025,0.6272,0.0039,0.9518,0.0085,0.0556,0.0056,0.9444,0.0011,0.7573,0.0047,0.7276,0.0071,0.8876,0.0037
4,KD,0.6263,0.0043,0.9679,0.0101,0.0604,0.0046,0.9395,0.0023,0.7559,0.0023,0.7252,0.0053,0.8857,0.0024
4,Hint,0.6280,0.0062,0.9679,0.0080,0.0650,0.0084,0.9389,0.0029,0.7560,0.0037,0.7290,0.0109,0.8868,0.0052
4,Hint_beta025,0.6240,0.0039,0.9709,0.0054,0.0660,0.0046,0.9388,0.0025,0.7578,0.0029,0.7234,0.0067,0.8850,0.0022
8,KD,0.6245,0.0026,0.9793,0.0094,0.0657,0.0045,0.9376,0.0012,0.7579,0.0032,0.7221,0.0034,0.8834,0.0016
8,Hint,0.6280,0.0040,0.9713,0.0117,0.0675,0.0051,0.9366,0.0039,0.7590,0.0052,0.7296,0.0054,0.8871,0.0028
8,Hint_beta025,0.6241,0.0034,0.9714,0.0098,0.0599,0.0034,0.9404,0.0024,0.7532,0.0042,0.7241,0.0052,0.8844,0.0025
16,KD,0.6273,0.0043,0.9782,0.0070,0.0670,0.0041,0.9382,0.0019,0.7607,0.0057,0.7269,0.0049,0.8850,0.0027
16,Hint,0.6271,0.0053,0.9735,0.0087,0.0624,0.0063,0.9389,0.0045,0.7553,0.0022,0.7278,0.0047,0.8855,0.0027
16,Hint_beta025,0.6215,0.0033,0.9838,0.0047,0.0658,0.0027,0.9377,0.0022,0.7548,0.0033,0.7203,0.0060,0.8825,0.0028
