T,method,accu_mean,accu_std,nlll_mean,nlll_std,ecel_mean,ecel_std,pi_jsd_mean,pi_jsd_std,pi_agree_mean,pi_agree_std,fid_top1_mean,fid_top1_std,fid_jsd_mean,fid_jsd_std
,Teacher,0.7739,0.0012,0.6501,0.0053,0.0315,0.0005,1.0,0.0,1.0,0.0,,,
,Baseline_MLP,0.6181,0.0045,0.9580,0.0102,0.0378,0.0008,0.9507,0.0013,0.7455,0.0036,0.7031,0.0073,0.8725,0.0028
,Relational_Distillation,0.6326,0.0026,0.9690,0.0109,0.0489,0.0059,0.9453,0.0038,0.7686,0.0044,0.7349,0.0047,0.8857,0.0028
1,KD,0.6352,0.0057,0.9244,0.0119,0.0366,0.0004,0.9554,0.0010,0.7618,0.0056,0.7331,0.0067,0.8872,0.0031
1,Hint,0.6315,0.0048,0.9283,0.0098,0.0367,0.0012,0.9566,0.0020,0.7548,0.0042,0.7315,0.0079,0.8861,0.0038
1,Hint_beta025,0.6132,0.0061,0.9665,0.0139,0.0372,0.0010,0.9599,0.0014,0.7562,0.0055,0.7058,0.0077,0.8736,0.0046
2,KD,0.6336,0.0040,0.9326,0.0097,0.0409,0.0027,0.9494,0.0005,0.7592,0.0034,0.7307,0.0052,0.8883,0.0024
2,Hint,0.6304,0.0030,0.9375,0.0065,0.0442,0.0009,0.9495,0.0012,0.7570,0.0023,0.7294,0.0045,0.8873,0.0018
2,Hint_beta025,0.6109,0.0042,0.9757,0.0100,0.0416,0.0016,0.9524,0.0004,0.7486,0.0047,0.7027,0.0049,0.8741,0.0034
4,KD,0.6336,0.0035,0.9394,0.0047,0.0472,0.0026,0.9461,0.0011,0.7606,0.0048,0.7298,0.0058,0.8883,0.0031
4,Hint,0.6300,0.0039,0.9468,0.0045,0.0486,0.0024,0.9469,0.0019,0.7561,0.0040,0.7275,0.0051,0.8865,0.0027
4,Hint_beta025,0.6168,0.0060,0.9692,0.0133,0.0460,0.0011,0.9504,0.0018,0.7550,0.0047,0.7102,0.0072,0.8783,0.0034
8,KD,0.6346,0.0037,0.9422,0.0068,0.0479,0.0028,0.9449,0.0016,0.7600,0.0054,0.7325,0.0029,0.8891,0.0016
8,Hint,0.6290,0.0037,0.9467,0.0078,0.0433,0.0019,0.9472,0.0019,0.7521,0.0045,0.7267,0.0062,0.8862,0.0031
8,Hint_beta025,0.6101,0.0065,0.9856,0.0148,0.0464,0.0025,0.9509,0.0022,0.7552,0.0041,0.7006,0.0084,0.8737,0.0032
16,KD,0.6296,0.0034,0.9491,0.0061,0.0450,0.0033,0.9483,0.0016,0.7588,0.0053,0.7245,0.0033,0.8851,0.0010
16,Hint,0.6324,0.0052,0.9409,0.0090,0.0472,0.0036,0.9464,0.0010,0.7572,0.0040,0.7317,0.0068,0.8886,0.0040
16,Hint_beta025,0.6105,0.0039,0.9855,0.0080,0.0432,0.0019,0.9506,0.0024,0.7520,0.0075,0.7017,0.0068,0.8736,0.0029
