T,method,accu_mean,accu_std,nlll_mean,nlll_std,ecel_mean,ecel_std,ti_1mjsd_mean,ti_1mjsd_std,ti_agree_mean,ti_agree_std,fid_top1_mean,fid_top1_std,fid_1mjsd_mean,fid_1mjsd_std
,Teacher,0.9901,0.0008,0.0372,0.0052,0.0035,0.0007,1.0,0.0,1.0,0.0,,,
,Baseline,0.8801,0.0042,0.7049,0.0329,0.0851,0.0041,0.8926,0.0034,0.8657,0.0043,0.8792,0.0044,0.8924,0.0041
,Relational_Distillation,0.9063,0.0045,,,,,0.8938,0.0040,0.8937,0.0040,0.9052,0.0048,0.9074,0.0051
1,KD,0.8822,0.0026,0.5016,0.0266,0.0660,0.0036,0.8983,0.0028,0.8643,0.0041,0.8813,0.0027,0.8946,0.0022
1,Hint,0.8699,0.0055,0.5500,0.0371,0.0725,0.0053,0.8807,0.0038,0.8420,0.0043,0.8693,0.0057,0.8844,0.0051
1,Hint_beta025,0.8619,0.0049,0.5545,0.0343,0.0718,0.0047,0.8725,0.0039,0.8296,0.0049,0.8616,0.0054,0.8771,0.0045
2,KD,0.8847,0.0071,0.5821,0.0737,0.0758,0.0078,0.8981,0.0069,0.8698,0.0076,0.8841,0.0073,0.8967,0.0072
2,Hint,0.8720,0.0105,0.6427,0.0779,0.0845,0.0085,0.8787,0.0082,0.8466,0.0101,0.8719,0.0111,0.8865,0.0098
2,Hint_beta025,0.8590,0.0047,0.6849,0.0478,0.0908,0.0050,0.8644,0.0046,0.8280,0.0052,0.8591,0.0054,0.8748,0.0055
4,KD,0.8904,0.0032,0.6495,0.0620,0.0813,0.0042,0.9009,0.0045,0.8779,0.0043,0.8896,0.0034,0.9013,0.0039
4,Hint,0.8761,0.0051,0.7450,0.0660,0.0922,0.0042,0.8783,0.0042,0.8531,0.0044,0.8760,0.0055,0.8884,0.0055
4,Hint_beta025,0.8599,0.0045,0.7820,0.0652,0.1001,0.0050,0.8622,0.0050,0.8313,0.0050,0.8604,0.0050,0.8754,0.0052
8,KD,0.8911,0.0030,0.6466,0.0628,0.0814,0.0039,0.9060,0.0031,0.8838,0.0028,0.8905,0.0031,0.9016,0.0038
8,Hint,0.8746,0.0048,0.7507,0.0454,0.0941,0.0031,0.8813,0.0036,0.8555,0.0045,0.8750,0.0052,0.8878,0.0045
8,Hint_beta025,0.8538,0.0051,0.8013,0.0638,0.1040,0.0053,0.8614,0.0050,0.8280,0.0052,0.8545,0.0060,0.8706,0.0054
16,KD,0.8843,0.0019,0.7146,0.0517,0.0876,0.0025,0.8984,0.0033,0.8756,0.0035,0.8838,0.0017,0.8952,0.0018
16,Hint,0.8715,0.0044,0.7645,0.0635,0.0959,0.0048,0.8812,0.0037,0.8548,0.0045,0.8721,0.0047,0.8856,0.0043
16,Hint_beta025,0.8497,0.0047,0.8118,0.0555,0.1049,0.0045,0.8597,0.0028,0.8244,0.0037,0.8502,0.0054,0.8667,0.0048
