T,method,accu_mean,accu_std,nlll_mean,nlll_std,ecel_mean,ecel_std,ti_1mjsd_mean,ti_1mjsd_std,ti_agree_mean,ti_agree_std,fid_top1_mean,fid_top1_std,fid_1mjsd_mean,fid_1mjsd_std
,Teacher,0.9901,0.0008,0.0372,0.0052,0.0035,0.0007,1.0,0.0,1.0,0.0,,,
,Baseline,0.8801,0.0042,0.7049,0.0329,0.0851,0.0041,0.8926,0.0034,0.8657,0.0043,0.8792,0.0044,0.8924,0.0041
,Relational_Distillation,0.9204,0.0033,,,,,0.9115,0.0038,0.9112,0.0037,0.9190,0.0036,0.9212,0.0038
1,KD,0.8829,0.0050,0.5619,0.0381,0.0736,0.0053,0.8961,0.0040,0.8652,0.0047,0.8820,0.0047,0.8955,0.0042
1,Hint,0.8687,0.0059,0.6177,0.0500,0.0804,0.0065,0.8774,0.0036,0.8419,0.0038,0.8686,0.0065,0.8831,0.0058
1,Hint_beta025,0.8609,0.0062,0.5982,0.0365,0.0800,0.0050,0.8697,0.0045,0.8293,0.0056,0.8608,0.0066,0.8767,0.0057
2,KD,0.8853,0.0056,0.5672,0.0544,0.0740,0.0063,0.8982,0.0048,0.8687,0.0051,0.8845,0.0060,0.8973,0.0053
2,Hint,0.8703,0.0039,0.6414,0.0460,0.0838,0.0048,0.8783,0.0020,0.8448,0.0019,0.8700,0.0042,0.8846,0.0045
2,Hint_beta025,0.8619,0.0054,0.6496,0.0455,0.0862,0.0047,0.8691,0.0042,0.8323,0.0057,0.8619,0.0059,0.8778,0.0055
4,KD,0.8934,0.0029,0.5855,0.0571,0.0759,0.0046,0.9050,0.0027,0.8814,0.0025,0.8924,0.0028,0.9039,0.0033
4,Hint,0.8754,0.0044,0.6771,0.0478,0.0883,0.0037,0.8832,0.0036,0.8548,0.0039,0.8753,0.0047,0.8890,0.0047
4,Hint_beta025,0.8617,0.0050,0.7231,0.0711,0.0954,0.0066,0.8663,0.0060,0.8338,0.0063,0.8623,0.0056,0.8776,0.0060
8,KD,0.8972,0.0034,0.6065,0.0401,0.0756,0.0028,0.9085,0.0050,0.8865,0.0050,0.8965,0.0036,0.9071,0.0040
8,Hint,0.8793,0.0038,0.7141,0.0234,0.0896,0.0021,0.8854,0.0039,0.8603,0.0051,0.8790,0.0036,0.8915,0.0037
8,Hint_beta025,0.8567,0.0061,0.7878,0.0412,0.1013,0.0049,0.8601,0.0053,0.8268,0.0065,0.8566,0.0064,0.8723,0.0056
16,KD,0.8915,0.0052,0.6285,0.0815,0.0786,0.0066,0.9047,0.0061,0.8807,0.0057,0.8911,0.0054,0.9028,0.0052
16,Hint,0.8724,0.0044,0.7418,0.0553,0.0938,0.0036,0.8817,0.0031,0.8546,0.0037,0.8729,0.0047,0.8864,0.0043
16,Hint_beta025,0.8506,0.0053,0.7984,0.0694,0.1039,0.0058,0.8600,0.0046,0.8243,0.0050,0.8513,0.0058,0.8681,0.0054
